,PCT,CRIME,2012,2013,2014,2015,2016,2017,2018
201,18,FELONY SEX CRIMES (3),14.0,19,20,22,35,37,28
202,18,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,229.0,241,227,212,205,189,189
203,18,PETIT LARCENY                         ,2126.0,2071,2073,1961,1965,2079,2046
204,18,INTOXICATED & IMPAIRED DRIVING              ,58.0,55,36,28,32,28,31
205,18,MISDEMEANOR DANGEROUS WEAPONS (5)               ,48.0,45,38,19,38,37,34
206,18,MISDEMEANOR SEX CRIMES (4),75.0,78,66,77,96,96,82
207,18,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,28.0,28,13,26,18,10,20
208,18,VEHICLE AND TRAFFIC LAWS              ,90.0,96,95,93,69,89,91
209,18,FELONY POSSESSION STOLEN PROPERTY            ,14.0,16,24,14,9,21,18
210,18,UNAUTHORIZED USE OF A VEHICLE           ,9.0,8,14,9,11,15,11
211,18,OTHER VIOLATIONS (1),149.0,129,169,89,64,107,76
212,18,HARASSMENT 2                          ,751.0,875,935,970,999,947,1182
213,18,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),111.0,128,149,127,98,81,107
214,18,OTHER FELONIES (4),74.0,58,80,86,76,74,76
215,18,FELONY DANGEROUS DRUGS  (1),125.0,97,114,101,84,92,58
216,18,GRAND LARCENY OF MOTOR VEHICLE                                  ,44.0,36,37,37,31,42,31
217,18,CRIMINAL TRESPASS,70.0,120,207,161,141,119,107
218,18,RAPE                                  ,14.0,14,10,15,13,26,21
219,18,MURDER & NON NEGL. MANSLAUGHTER                                ,4.0,0,2,0,0,1,3
220,18,FELONY ASSAULT                        ,127.0,168,172,157,190,166,190
221,18,BURGLARY                              ,171.0,175,213,220,208,203,175
222,19,FELONY POSSESSION STOLEN PROPERTY            ,11.0,13,4,10,10,3,7
223,19,FELONY SEX CRIMES (3),16.0,15,14,17,20,29,23
224,19,FELONY DANGEROUS DRUGS  (1),37.0,23,15,16,21,20,16
225,19,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,56.0,60,97,95,88,63,111
226,19,OTHER FELONIES (4),63.0,61,59,53,66,66,84
227,19,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,237.0,269,210,275,285,309,234
228,19,OTHER MISDEMEANORS (8),325.0,276,214,354,487,469,231
229,19,HARASSMENT 2                          ,501.0,505,467,531,673,670,737
230,19,GRAND LARCENY                         ,1452.0,1548,1402,1414,1435,1444,1465
231,19,BURGLARY                              ,241.0,252,218,174,216,203,227
232,19,ROBBERY                               ,129.0,104,96,107,99,125,138
233,19,RAPE                                  ,16.0,6,12,9,5,16,14
234,19,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,60.0,25,23,20,15,7,9
235,19,MISDEMEANOR SEX CRIMES (4),56.0,37,79,66,72,92,74
236,19,AGGRAVATED HARASSMENT 2               ,330.0,329,210,182,196,230,196
237,19,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),77.0,68,53,63,54,46,58
238,19,UNAUTHORIZED USE OF A VEHICLE           ,14.0,6,6,6,6,16,19
239,19,ADMINISTRATIVE CODE (6)            ,4.0,1,1,6,4,3,8
240,19,VEHICLE AND TRAFFIC LAWS              ,66.0,100,67,59,101,110,89
241,19,INTOXICATED & IMPAIRED DRIVING              ,156.0,177,196,107,54,51,26
242,19,PETIT LARCENY                         ,1669.0,1637,1566,1586,1678,1832,1913
243,19,CRIMINAL TRESPASS,81.0,41,71,46,68,58,28
244,20,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,23.0,19,17,24,40,38,33
245,20,HARASSMENT 2                          ,486.0,499,530,499,464,537,489
246,20,OTHER VIOLATIONS (1),38.0,18,31,6,56,42,8
247,20,OTHER FELONIES (4),38.0,27,45,51,48,45,46
248,20,GRAND LARCENY OF MOTOR VEHICLE                                  ,41.0,22,31,30,28,21,28
249,20,FELONY SEX CRIMES (3),10.0,8,10,6,18,15,8
250,20,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),86.0,72,77,53,62,57,48
251,20,UNAUTHORIZED USE OF A VEHICLE           ,8.0,10,5,6,12,14,12
252,20,VEHICLE AND TRAFFIC LAWS              ,36.0,36,21,28,37,31,31
253,20,INTOXICATED & IMPAIRED DRIVING              ,63.0,29,27,6,20,16,3
254,20,PETIT LARCENY                         ,1008.0,1182,1221,1171,1218,1406,1370
255,20,MISDEMEANOR DANGEROUS WEAPONS (5)               ,23.0,24,22,17,17,11,10
256,20,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,37.0,27,13,11,6,5,6
257,20,MURDER & NON NEGL. MANSLAUGHTER                                ,2.0,2,0,0,0,2,0
258,20,ROBBERY                               ,96.0,81,53,68,57,71,61
